uc	mu
-5.0	17.95852733607
-5.4	18.4661579451924
-5.8	18.635456058078
-6.2	18.5192862980276
-6.6	18.1908801552296
-7.0	17.5102239825225
-7.6	17.348000448
-8.2	17.085128711962664
-8.8	15.30855867255772
-9.8	13.290296395285488
-16.0	0.0
